Progress,Length,Weight,"Bird comp 
 (by length)"
1 Week,-,,
2 Weeks,0.014 in,< 0.04 oz,poppy seed
3 Weeks,0.027 in,< 0.04 oz,
4 Weeks,0.04 in,< 0.04 oz,Thistle seed
5 Weeks,0.05 in,0.04 oz,Millet seed
6 Weeks,0.125 in,0.04 oz,Sunflower Seed
7 Weeks,.5 in,0.04 oz,House Wren Egg
8 Weeks,0.63 in,0.04 oz,Barn Swallow Egg
9 Weeks,.9 in,.07 oz,Wood Thrush Egg
10 Weeks,1.22 in,0.14 oz,American Robin Egg
11 Weeks,1.61 in,0.25 oz,Black Tern Egg
12 Weeks,2.13 in,0.49 oz,Great Blue Heron Egg
13 Weeks,2.91 in,0.81 oz,Bald Eagle Egg
14 Weeks,3.42 in,1.52 oz,Ruby-throated hummingbird
15 Weeks,3.98 in,2.47 oz,ruby-crowned kinglet
16 Weeks,4.57 in,3.53 oz,Black-capped chickadee
17 Weeks,5.12 in,4.94 oz,Carolina Wren
18 Weeks,5.59 in,6.70 oz,Tufted Titmouse
19 Weeks,6.02 in,8.47 oz,Cedar Waxwing
20 Weeks,6.46 in,10.58 oz,Eastern bluebird
21 Weeks,10.51 in,12.70 oz,American Kestrel
22 Weeks,10.94 in,15.17 oz,Blue Jay
23 Weeks,11.38 in,17.6 oz,Atlantic Puffin
24 Weeks,11.81 in,21.12 oz,Northern Flicker
25 Weeks,13.62 in,23.36 oz,Belted Kingfisher
26 Weeks,14.02 in,26.88 oz,Common Tern
27 Weeks,14.41 in,30.88 oz,Peregrine Falcon
28 Weeks,14.80 in,35.52 oz,Cooper's Hawk
29 Weeks,15.2 in,40.64 oz,American Barn Owl
30 Weeks,15.71 in,46.56 oz,American Crow
31 Weeks,16.18 in,52.96 oz,Pileated Woodpecker
32 Weeks,16.69 in,60 oz,Hooded Merganser
33 Weeks,17.20 in,67.68 oz,Green Heron
34 Weeks,17.72 in,75.68 oz,Ring-billed Gull
35 Weeks,18.19 in,84 oz,Red-Tailed Hawk
36 Weeks,18.66 in,92.48 oz,Wood duck
37 Weeks,19.13 in,100.8 oz,Red-shouldered Hawk
38 Weeks,19.61 in,108.8 oz,Barred Owl
39 Weeks,19.96 in,116 oz,Mallard
40 Weeks,20.16 in,122.08 oz,Snowy Owl
41 Weeks,20.35 in,126.88 oz,Great Horned Owl
42 Weeks,21 in,129.92 oz,Osprey
